Seller ID, Author, Title, Illustrator, Book condition, Book size, Jacket condition, Binding,Book type, ISBN, Publisher, Publish place, Publish Date, Edition, Inscription, Description,Quantity, Price, Image, Category 1, Category 2, Category 3, Category 4, Category 5, Keyword 1,Keyword 2, Keyword 3, Keyword 4, Keyword 5, Keyword 6, Keyword 7, Keyword 8, Keyword 9, Weight,Featured Item
"698167","Joyce Meyer","Healing the Soul of a Woman Devotional: 90 Inspirations for Overcoming Your Emotional Wounds","","Used - Good","","","Hardcover","","1546039066","FaithWords","","October 2019","",""," ","1","7.95","","3 Christian Gen.","","","","","","","","","","","","","","0.88",""
"698170","Chrystal Evans Hurst","Show Up for Your Life: What the girl you’ll be tomorrow wants you to know today","","Used - Good","","","Hardcover","","0310766834","Zondervan","","February 2019","",""," ","1","9.95","","3 Christian Gen.","","","","","","","","","","","","","","1",""
"698194","Mike Rowe","The Way I Heard It","","Used - Good","","","Hardcover","","1982130857","Gallery Books","","October 2019","",""," ","1","13.95","","5.4 Music and the Arts","","","","","","","","","","","","","","0.93",""
"698197","S. F. Fleharty,Philip J. Reyburn,Terry Wilson","Jottings from Dixie: The Civil War Dispatches of Sergeant Major Stephen F. Fleharty, U.S.A.","","Used - Good","","","Hardcover","","0807123471","Louisiana State Univ Pr","","June 1999","",""," ","1","11.95","","4.1 Hist. Civil War","","","","","","","","","","","","","","1.58",""
"698198","Michael Holley","War Room: The Legacy of Bill Belichick and the Art of Building the Perfect Team","","Used - Good","","","Hardcover","","0062082396","It Books","","November 2011","",""," ","1","11.95","","7 Business Gen.","","","","","","","","","","","","","","1.2",""
"698205","Michael Paterson","Winston Churchill - The Photobiography","","Used - Good","","","Hardcover","","0715323121","David & Charles","","April 2006","",""," ","1","9.95","","4.8 Hist. Biography, General","","","","","","","","","","","","","","1.98",""
"698212","Alan Villiers","Way of a Ship, The: The Glorious History, the Expert Handling and Performance, the Heroic End of the Ocean-Going Square-Rigged Saiiling Vessel, the  Cape Horn  Ship.","","Used - Good","","","Hardcover","","B001U6DNJI","Charles Scribner's Son's","","January 1953","",""," ","1","9.95","","4.9 Hist. World General","","","","","","","","","","","","","","2.44",""
"698232","Les Standiford","The Man Who Invented Christmas (Movie Tie-In): Includes Charles Dickens's Classic A Christmas Carol: How Charles Dickens's A Christmas Carol Rescued His Career and Revived Our Holiday Spirits","","Used - Very Good","","","Paper Back","","1524762466","Broadway Books","","September 2017","",""," ","1","9.35","",".51 Christmas ","","","","","","","","","","","","","","0.57",""
"698237","Tyler Perry","Higher Is Waiting","","Used - Good","","","Hardcover","","0812989341","Spiegel & Grau","","November 2017","",""," ","1","11.95","","3.3 Chr. General NF","","","","","","","","","","","","","","0.73",""
"698238","Jud Wilhite","Pursued: God's Divine Obsession with You","","Used - Very Good","","","Paper Back","","1455515442","FaithWords","","November 2013","",""," ","1","8.25","","3.3 Chr. General NF","","","","","","","","","","","","","","0.53",""
